абажур|lampshade, shade
красить|dye, paint, tint, varnish
краска|paintwork
красноватый|reddish, ruddy
краснодеревщик|cabinet-maker
красноречивый|eloquent
красноречие|eloquence
краснота|redness
краснуха|German measles
красный|florid, red
красоваться|prance
красота|beauty
красотка|hot stuff
красться|skulk, steal
краткий|concise
кратковременный|short-term
краткосрочный|short-term
краткость|brevity
крахмал|starch
крашеный|tinted
креветка|prawn
кредит|credit
кредитовать|credit
кредитор|creditor, lender, mortgagee
кредитоспособный|creditworthy
крейсировать|cruise
крематорий|crematorium
кремация|cremation
кремень|flint
кремировать|cremate
Кремль|Kremlin
кремний|silicon
кремовый|cream
крен|lurch
креозот|creosote
крепкий|able-bodied, hard, hard-wearing, potent, robust, stiff, stout, strong, Sturdy
крепко|firmly, heavily, solidly, soundly, strongly, tight, tightly
крепление|attachment
крепость|firmness, fort, potency, proof, strength
кресло|armchair
крест|cross
крестить|baptize
креститься|cross
крестник|godchild, godson
крестница|goddaughter
крёстный|godparent
крестоносец|crusader
крестьянин|peasant
кретин|moron, twerp
кретинский|moronic
крещендо|crescendo
крещение|baptism, christening
криббидж|cribbage
кривобокий|lopsided
кривой|lopsided, wry
кривоногий|bandy-legged, bow-legged
кризис|crisis
крик|cry, shouting
кристаллизоваться|crystallize
Крит|Crete
критерий|benchmark, criterion
критик|critic
критиковать|criticize, hammer
критический|crunch
кричать|scream, shout
кричащий|flashy, garish
кровавый|bloody, gory, murderous, rare
кровать|bed, four-poster
кровожадный|bloodthirsty
кровоизлияние|haemorrhage
кровообращение|bloodstream
кровопролитие|bloodletting, bloodshed
кровопролитный|gory
кровопускание|bloodletting
кровосмешение|incest
кровотечение|haemorrhage
кровоточить|bleed
кровь|blood, gore
крокет|croquet
крокеты|croquette
крокодил|crocodile
кролик|buck, rabbit
кроль|crawl
кроме|besides, except, other
кромка|flange
кронпринц|crown prince
кронштейн|bracket, cantilever
кропотливый|painstaking
кроссворд|crossword
